✓ Successfully loaded & adapted pretrained weights from /home/ct_24210860031/812code/SYR/models/pad_bridge_pre/bridge_pre.pt
Missing keys after load (ok if due to config changes): 7
/home/ct_24210860031/812code/SYR/baselinepad/train_robot.py:294: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  resume_checkpoint = torch.load(args.resume, map_location='cpu')
✓ Resumed from checkpoint: /home/ct_24210860031/812code/SYR/baselinepad/results/metaworld_a100_20251125_202915/000-DiT-XL-2-2025-11-25-20-31-04/checkpoints/0165000.pt
✓ Starting from epoch 59, step 165000
✓ Action training will be enabled
[[34m2025-11-27 10:57:32[0m] DiT Parameters: 677,401,464
length of dataset 176129
[[34m2025-11-27 10:57:38[0m] Global batch size 64 num_processes (4)
[[34m2025-11-27 10:57:38[0m] Dataset contains 176,129 images (/home/ct_24210860031/812datasets/SYR/metaworld_features)
✓ Restored optimizer and scheduler states
[[34m2025-11-27 10:57:46[0m] Training for 120 epochs...
[[34m2025-11-27 10:57:46[0m] Beginning epoch 59...
[[34m2025-11-27 10:59:31[0m] (step=0165100) Train Loss image: 0.016448, Train Loss action:0.022734, Train Loss depth:0.000000, Train Steps/Sec: 0.95, LR: 1.00e-04
[[34m2025-11-27 13:48:43[0m] (step=0176900) Train Loss image: 0.013706, Train Loss action:0.014424, Train Loss depth:0.000000, Train Steps/Sec: 1.19, LR: 1.00e-04
[[34m2025-11-27 13:50:07[0m] (step=0177000) Train Loss image: 0.017819, Train Loss action:0.021416, Train Loss depth:0.000000, Train Steps/Sec: 1.18, LR: 1.00e-04
[[34m2025-11-27 13:51:33[0m] (step=0177100) Train Loss image: 0.020033, Train Loss action:0.024586, Train Loss depth:0.000000, Train Steps/Sec: 1.16, LR: 1.00e-04
[[34m2025-11-27 13:52:56[0m] (step=0177200) Train Loss image: 0.015803, Train Loss action:0.017424, Train Loss depth:0.000000, Train Steps/Sec: 1.20, LR: 1.00e-04
[[34m2025-11-27 13:54:22[0m] (step=0177300) Train Loss image: 0.016796, Train Loss action:0.020267, Train Loss depth:0.000000, Train Steps/Sec: 1.16, LR: 1.00e-04
[[34m2025-11-27 13:55:50[0m] (step=0177400) Train Loss image: 0.016402, Train Loss action:0.017791, Train Loss depth:0.000000, Train Steps/Sec: 1.14, LR: 1.00e-04
[[34m2025-11-27 13:57:13[0m] (step=0177500) Train Loss image: 0.015460, Train Loss action:0.015941, Train Loss depth:0.000000, Train Steps/Sec: 1.20, LR: 1.00e-04
[[34m2025-11-27 13:58:38[0m] (step=0177600) Train Loss image: 0.013954, Train Loss action:0.015315, Train Loss depth:0.000000, Train Steps/Sec: 1.17, LR: 1.00e-04
[[34m2025-11-27 14:00:01[0m] (step=0177700) Train Loss image: 0.017107, Train Loss action:0.019208, Train Loss depth:0.000000, Train Steps/Sec: 1.21, LR: 1.00e-04
[[34m2025-11-27 14:01:25[0m] (step=0177800) Train Loss image: 0.017611, Train Loss action:0.022224, Train Loss depth:0.000000, Train Steps/Sec: 1.19, LR: 1.00e-04
[[34m2025-11-27 14:02:50[0m] (step=0177900) Train Loss image: 0.014525, Train Loss action:0.014884, Train Loss depth:0.000000, Train Steps/Sec: 1.17, LR: 1.00e-04
[[34m2025-11-27 14:04:14[0m] (step=0178000) Train Loss image: 0.016130, Train Loss action:0.019123, Train Loss depth:0.000000, Train Steps/Sec: 1.20, LR: 1.00e-04
[[34m2025-11-27 14:05:37[0m] (step=0178100) Train Loss image: 0.012872, Train Loss action:0.015449, Train Loss depth:0.000000, Train Steps/Sec: 1.21, LR: 1.00e-04
[[34m2025-11-27 14:07:04[0m] (step=0178200) Train Loss image: 0.016516, Train Loss action:0.019433, Train Loss depth:0.000000, Train Steps/Sec: 1.15, LR: 1.00e-04
[[34m2025-11-27 14:08:34[0m] (step=0178300) Train Loss image: 0.016255, Train Loss action:0.018380, Train Loss depth:0.000000, Train Steps/Sec: 1.10, LR: 1.00e-04
[[34m2025-11-27 14:10:01[0m] (step=0178400) Train Loss image: 0.013493, Train Loss action:0.014683, Train Loss depth:0.000000, Train Steps/Sec: 1.16, LR: 1.00e-04
